"age" "salaire"
40 87.9810327856054
51 178.700657207025
43 109.833985642199
77 99.6894636984864
36 134.705375118879
45 75.3556793180091
50 115.285516994187
25 56.4538649754188
51 67.1792914754174
40 94.0727147457005
49 104.921506533664
55 109.833985642199
41 127.115743812184
38 145.143601176911
63 318.342430056529
39 81.2832532842527
29 138.299126920883
33 82.6796372966372
28 141.77517233318
40 114.475713290347
43 109.833985642199
59 108.874525834712
26 75.0431540173515
24 87.9810327856054
29 73.7757432746946
47 51.2396549228382
55 85.3839403789827
45 130.982177377461
30 105.927810775063
60 138.299126920883
36 118.884359339886
31 113.567089569751
48 87.9810327856054
36 114.475713290347
36 150.695182101741
46 114.475713290347
60 101.82435207568
61 113.567089569751
36 87.9810327856054
50 127.115743812184
38 180.779952229859
61 79.8549003093467
28 136.876367635184
39 87.9810327856054
28 95.2307125669819
47 78.3924668009837
43 49.5553381215226
63 171.765132627508
50 94.0727147457005
44 110.782650276254
35 114.475713290347
40 118.884359339886
34 76.8936025176112
63 134.705375118879
47 118.884359339886
41 68.7480877337669
38 148.413159102577
45 145.143601176911
49 75.3556793180091
33 134.705375118879
24 52.4070640482002
46 104.921506533664
47 82.6796372966372
71 98.5993438603892
66 127.115743812184
52 61.1875264339915
51 118.019753340006
30 130.982177377461
57 114.475713290347
50 143.92735936583
63 110.782650276254
52 118.884359339886
44 118.55677641507
24 109.833985642199
40 130.982177377461
47 130.982177377461
53 82.6796372966372
46 49.5553381215226
56 87.9810327856054
58 104.921506533664
47 129.453644576625
56 127.115743812184
30 118.884359339886
41 75.3556793180091
33 111.720849360989
51 127.115743812184
64 49.5553381215226
57 148.413159102577
47 128.680488220624
44 160.642475408263
58 148.413159102577
66 118.884359339886
31 99.6894636984864
46 84.3157688645753
22 81.2832532842527
35 99.6894636984864
58 118.884359339886
39 84.0459576539924
44 125.12381572196
32 61.1875264339915
45 99.6894636984864
31 75.3556793180091
52 111.720849360989
31 94.0727147457005
40 95.2307125669819
40 65.1108537153447
43 73.7757432746946
45 130.982177377461
57 118.884359339886
32 109.833985642199
34 81.2832532842527
48 23.9529444789965
37 84.7183897030478
39 130.982177377461
18 69.6190369046763
46 148.413159102577
56 110.782650276254
48 94.0727147457005
80 79.8549003093467
40 141.77517233318
58 75.0431540173515
34 166.324941233877
33 104.921506533664
44 109.833985642199
44 160.642475408263
40 118.019753340006
51 65.1108537153447
39 101.82435207568
59 54.121205395165
47 127.115743812184
26 38.2235828218228
26 104.921506533664
54 127.115743812184
62 148.413159102577
34 137.590142766506
23 73.7757432746946
40 277.79948020565
36 148.413159102577
43 277.601417511009
42 114.475713290347
46 99.6894636984864
54 115.375038556391
23 84.0459576539924
57 82.6823993373301
40 94.0727147457005
45 94.0727147457005
58 134.705375118879
48 278.964466695847
23 94.0727147457005
62 94.0727147457005
42 85.3839403789827
55 46.7632687977187
51 59.0328548279404
39 148.413159102577
43 79.8549003093467
43 72.4793162971252
32 112.6488963421
47 148.413159102577
57 94.0727147457005
19 27.1405792079024
23 59.0970640815891
30 114.475713290347
43 123.908567597957
60 118.884359339886
33 145.143601176911
34 148.413159102577
64 109.833985642199
37 109.833985642199
40 68.5721657022738
37 104.921506533664
26 91.6992261117042
26 86.6951548289402
28 66.2294082943902
54 148.413159102577
44 71.6867436659172
41 109.833985642199
51 70.4760196469445
47 94.0727147457005
46 106.723977625299
38 200.543262324662
52 76.8936025176112
58 79.8549003093467
33 116.265324062503
34 96.9340904570115
57 128.680488220624
43 152.838800991182
52 139.703071527658
48 109.833985642199
60 35.0334213214995
39 68.7480877337669
44 101.82435207568
46 150.330653495766
54 104.921506533664
31 81.2832532842527
33 114.475713290347
38 276.778413321176
21 75.0431540173515
26 160.643638171791
44 99.6894636984864
45 114.475713290347
44 70.4760196469445
21 102.870246933215
49 175.93299770235
57 95.2307125669819
43 95.2307125669819
53 193.452606894109
43 109.833985642199
24 70.4760196469445
46 114.475713290347
30 138.299126920883
23 75.3556793180091
24 75.3556793180091
26 73.7757432746946
35 94.6956951317194
43 126.323880709786
62 101.82435207568
52 118.884359339886
56 87.9810327856054
45 160.642475408263
46 281.745970551857
46 99.6894636984864
48 123.089699847943
44 99.6894636984864
50 73.7757432746946
34 148.413159102577
43 73.7757432746946
25 73.7757432746946
47 105.927810775063
31 94.0727147457005
47 87.9810327856054
43 109.833985642199
33 82.6796372966372
44 148.413159102577
41 148.413159102577
52 86.6951548289402
32 91.6992261117042
25 118.019753340006
59 76.8936025176112
32 118.884359339886
50 130.982177377461
39 123.089699847943
22 70.6610476694407
20 69.9291272064087
64 99.6894636984864
41 70.8150386167557
59 73.7757432746946
37 94.0727147457005
63 84.0459576539924
42 120.589436530402
50 120.166119635421
34 145.143601176911
50 182.020620963512
47 65.1108537153447
20 72.1504556815713
22 73.7757432746946
37 127.115743812184
40 112.6488963421
46 90.4819133566401
65 87.9810327856054
45 155.900506146767
50 87.9810327856054
58 99.6894636984864
34 100.764272842107
48 109.833985642199
23 118.884359339886
52 115.375038556391
43 79.8549003093467
25 94.0727147457005
45 130.982177377461
42 114.475713290347
44 94.0727147457005
50 143.134940811134
34 105.927810775063
27 104.921506533664
40 90.4819133566401
39 116.265324062503
32 70.4760196469445
36 99.6894636984864
50 175.960883130401
54 158.173662250538
28 108.874525834712
37 99.6894636984864
51 267.901086855275
25 89.4924795180001
38 148.413159102577
59 107.903923866876
52 145.143601176911
56 85.3839403789827
53 109.833985642199
43 109.833985642199
18 55.9974338324572
44 160.642475408263
29 59.6286455536557
59 87.9810327856054
56 140.398200161944
42 116.943081320617
33 87.9810327856054
43 65.1108537153447
39 73.7757432746946
40 166.879383279962
